Nicolas Andres,Huarte,29369913,1989-12-05,6857
Maria Antonella,Leiva,24260718,1987-08-01,8676
Martina Pilar,Mamani,27726965,1994-03-16,8848
Bautista Ezequiel,Farina,26869836,1999-06-02,517
Lara Agustina,Rivas,28045551,1995-03-16,7173
Joaquin Ariel,De León,34808789,2003-01-26,2641
Tomas Uriel,Carrizo,21639989,2000-11-05,3824
Lautaro Maximiliano,Gonzales,31977925,1984-08-06,9446
Santiago Román,Mariani,39201395,1996-08-03,2851
Valentina,Andrade,32722649,1984-05-28,767
Santiago,Varela,22002606,1982-06-17,3578
Martina,Ibáñez,35286793,2002-04-09,6171
Joaquin,Andrade,39408018,2002-08-25,4389
Juan Ignacio,Fazzi,31387129,1999-03-01,2367
Sofia,Hidalgo,34053631,1996-12-09,9852
Tomas,Mejía,20339753,1994-08-25,6405
Bautista,Mora,23912813,2000-04-10,6796
Mateo,Rivera,28605853,1991-06-04,3539
Catalina,Mamani,33317469,2000-06-20,8782
Benjamin,Pereira,21451199,1998-03-20,1477
Agustin,Huarte,38092602,1985-11-15,361
Santino,Zurich,28914930,2001-07-21,4757
Juan Cruz,Pinedo,38462350,2002-05-12,1867
Camila,Saldaña,25910678,1992-01-11,2678
Francisco,Álvarez,25285482,1985-11-06,6089
Ignacio,Amenedo,30146368,1982-05-31,2761
Lautaro,Rotundo,34965769,2003-07-16,4717
Juan Pablo,Mora,23283710,1987-10-25,8677
Valentino,Pereyra,24889082,1996-08-13,5981
Lucia,Moreno,30120719,1993-02-12,9610
