Emanuel,Soto,22069151,2004-03-30,7574
Santiago Leonel,Saldaña,37288913,1985-11-15,4171
Axel Gabriel,Mejía,25307403,1994-10-20,6750
Benicio,Morales,35298636,1990-11-08,6782
Francesca,Lorca,26635538,2004-04-02,2583
Sofía Valentina,Rotman,26357712,1991-08-21,7160
Juan Sebastian,Saldaña,31452370,1986-07-01,296
Ignacio Nicolas,López,23858496,1998-09-12,2100
Lautaro Tomas,Silva,29952402,1982-05-30,3709
Lucas Nahuel,Marín,29419020,2004-05-18,3711
Lucila,Mamani,23677231,1983-03-12,9932
Maria Celeste,Hoffmann,23669926,1984-05-28,7894
Valentina Belén,Pavón,28182194,1986-11-17,5646
Priscila Abigail,Varela,29166751,1996-07-05,3535
Lautaro Valentin,Gómez,31016101,1998-03-14,7574
Ciro,Delgado,21206052,1995-05-20,3561
Lautaro Emanuel,Mancuso,26954468,1984-05-06,9799
Thiago Benjamin,Abadía,21816886,2002-06-03,3729
Luis Fernando,Mora,35592342,1999-06-14,9247
Maria,Vera,33993912,1994-12-23,6421
Alvaro,Muñoz,37239564,2003-11-02,2957
Candela Abigail,Lorca,39556936,2001-12-14,9179
Joaquin Alejandro,Pereyra,34150208,1997-12-10,4152
Genaro,Scioti,22386643,1985-02-28,3546
Magdalena,Salem,29645673,1993-11-19,3645
Agustin Alejandro,Espinoza,33791121,1981-01-24,8032
Santiago Valentin,Godoy,24246033,1984-07-30,7367
Santiago Emanuel,Huarte,36242805,2004-01-09,9094
Santiago Joaquin,Mamani,36283183,1994-05-18,7574
